rank,live_stake_ada,name
1,722103926.131098,Yoroi W₳llet
2,456933143.134728,YUTA
3,297703304.423236,EMURGO
4,293665816.683264,Blockdaemon
5,250740177.902386,Eternl DRep Committee
6,209306471.53857,CryptoCrow
7,186246075.269268,Sebastien Guillemot セバ
8,141276513.856709,Cardano Foundation
9,122577754.017862,Everstake
10,115141705.635709,SIPO
11,103062888.206735,JAZZ
12,99871927.985531,BTBF_XSP
13,98228220.088523,Army of Spies
14,96447155.535369,CardanoYoda (MANDA Pool)
15,87407500.596637,Phil UPLC
16,82333510.400786,Dumpling🥟
17,79230342.115563,Peyton
18,75351008.117082,Unnamed
19,73926839.977452,Martin Lang
20,70998066.739768,Peter Bui
21,65672108.011431,Hermes Stakepool Germany (HRMS)
22,61453995.928534,Dave
23,59919604.912487,Florian Volery
24,58980889.270573,hix_coffeepool
25,58550022.285754,SASA_nagamaru_ながまる
26,53241927.334751,Goofycrisp
27,51556718.727012,Tempo.Vote
28,47167020.313293,AKYO
29,46945443.940279,PoolTool
30,44605165.737209,AdaStat
31,42950451.589765,HISAI
32,40692575.007616,Drep One
33,38493566.897075,Patrick_Tobler
34,38164638.286901,NEDSCAVE.IO
35,37772817.997037,Aichi/Tokai_DRep
36,37318368.707148,Big Lazy Cat
37,37194796.194474,MUEN
38,36560044.22152,Linda - Cryptofly
39,36143591.172683,FIMI
40,35636073.970937,TERA DRep
41,35453164.254489,Chris-O
42,35363725.083426,Kyle Solomon
43,33880322.308998,Socious
44,32811922.296082,HOSKY
45,30974275.406601,ranket
46,30812590.990329,WaffleCapital
47,24660191.272851,Cerkoryn
48,23701961.574749,DINO
49,23536584.235096,wolf31o2 (Chris Gianelloni)
50,23357193.838993,ADA Ocean
51,22259393.699411,Blockjock (James Meidinger)
52,21368828.27879,phillerino
53,21349170.192231,Hephaestus Stake Pool [HEPHY]
54,21201247.874602,SIDAN Lab
55,21187521.664724,Ha-Nguyen
56,21139366.23522,MESH
57,19648902.808121,Duc Tiger
58,19224259.376715,Moonstake
59,18839091.421938,CTEC-Stake-Pool
60,18817256.069347,Dori
61,18608833.087281,Chris [STR8] - Straightpool
62,16970312.927583,MiyatakeJapan
63,16796443.963409,Rodrigo-[CHIL]
64,16433550.151513,LateGameCrypto
65,16308001.924572,DraculaDAO
66,15993900.737279,Terminada
67,13965725.064549,忠実
68,13474225.446163,RCADA
69,13427760.675297,Richard Irving
70,13344634.261244,Wada DRep
71,12978156.667078,Smaug
72,12282478.486174,concon
73,12158533.343403,AQUA_Vote
74,11750149.709821,OREKA_Vote
75,11293802.976848,π Lanningham
76,11207965.109439,Holger
77,11031349.390687,Paul Ko
78,11010128.728033,STP
79,10107654.044658,Clean_Eyes
80,9566766.440207,Unnamed
81,8703738.284363,Unnamed
82,8014482.347786,Unnamed
83,7978776.505488,Cardanians
84,7895217.274542,ATLAS_Wolfgang
85,7859877.355345,InputEndorsers
86,7386387.224317,PRIDE
87,7208501.730943,Chris Cata
88,7026241.940387,Lucas.Macchiavelli
89,6627044.827685,Leo of the Brothership
90,6381610.190927,Unnamed
91,6286588.986968,ABBA --- with Good Music to Success !!!
92,6083034.72021,Shota
93,5908077.690998,stakit (sti) by TOBG
94,5845673.976061,YOADA
95,5626723.86721,Daehan_kor
96,5486054.670224,STORM Partners
97,5414665.463713,Kostas Panagias
98,5169700.647255,Peter Horsfall
99,5116941.426071,ONYX AI DRep
100,5045109.383676,dRep_Voshe
101,4983318.264071,AltcoinOracle
