name,delegation_ada,expired_epoch,delegator_count
Montrasi,973298.036407,599,11
cmon4949,877520.173926,573,4
Quixote [QXT],835100.541024,612,90
Lauris_StakePool247,831363.408355,577,46
Gimbalabs,808090.686183,601,56
Unnamed,799502.012423,550,0
Unnamed,784447.034378,543,2
Scientific-Analytical-Tools,775903.751498,617,15
Unnamed,762830.186394,567,1
ada_ddy,708480.855997,617,11
Kurdopia,658567.613501,615,18
Unnamed,652913.422421,564,10
Alf,651345.016574,617,4
YAKISOBA,647046.140909,561,8
LALKUL,612979.863882,579,0
Cardaw,569341.570801,574,14
CardanoMalaya,559478.343311,591,4
BORIS [PSB],528179.498285,583,15
ChainIndexChat,521315.747702,556,4
Unnamed,493767.233551,552,1
Cardano Advocate,487643.623142,571,11
Angel Castillo,477710.870516,610,29
Serverless Nomad,476290.804637,544,10
COLDHEAT,474619.55016,593,0
Unnamed,472497.051535,579,8
Unnamed,464857.22357,600,0
Chikara,453104.894558,531,5
Unnamed,448825.159595,546,2
BEST for ALL,438994.83929,584,9
Unnamed,413657.555033,543,1
Unnamed,406829.36634,599,7
Matcha,400693.218004,586,6
Goose (Jonah Peralta),397375.747729,590,16
ADAUSA,396243.01187,618,14
AndrewGoodson,380353.892398,560,9
Unnamed,366838.891199,595,0
Unnamed,355773.968639,613,4
ADA Community,350468.164376,618,10
TAVN,343555.005879,611,31
Unnamed,336389.729128,617,1
Zukki_Ancap,321123.598405,616,8
Unnamed,320672.599897,599,1
Mr.Robot,315491.934744,612,0
Unnamed,312659.447899,591,1
Unnamed,311584.528838,610,1
Prabath Guruge,309110.136723,591,0
Luca | Knackfisch,300338.587338,610,0
Unnamed,300124.183362,587,2
spannercode,264276.724812,610,11
Unnamed,260579.890047,617,1
Unnamed,256999.882292,575,1
Oomfie,256565.604733,617,0
Unnamed,256538.10666,560,5
Unnamed,255706.905128,617,4
Unnamed,253038.014934,599,0
Unnamed,250691.338147,595,1
Unnamed,234406.636244,559,17
Unnamed,233688.08529,562,0
Unnamed,228273.370489,601,2
5PC,225359.041125,617,6
Alex Maaza / Planetmaaz,214514.835706,597,12
Dutch DRep - SPO FLOWR,206852.463592,596,13
Moxie,206710.633885,549,12
Unnamed,204491.099604,563,0
Unnamed,202971.592714,593,1
Gnobudy Special ,201688.58322,611,7
Jonathan Nikkel,201323.840377,600,2
AnonymousDRep23,200346.64647,583,2
Unnamed,194277.091306,588,8
Sustainable ADA,189237.972264,617,0
Voice for Cardano,189038.913725,559,20
CAPEX_STAKEPOOL,186123.61807,561,0
LloydDuhon,183547.368668,596,38
Unnamed,180806.701866,580,0
Unnamed,178583.926538,529,5
Unnamed,178051.041251,593,3
mathd,171541.320579,595,6
"Umed Saidov, CFA",170134.518173,601,0
Unnamed,169248.013473,527,18
Melon,163577.674461,530,0
Unnamed,163146.555872,562,0
Nils Codes,161433.185553,529,40
ARandomCardanoDrep,154148.576459,610,5
Unnamed,151783.65478,551,1
Ratio_St8tik_St8tikRatio,150056.975417,569,12
Unnamed,147097.606875,561,1
Fred Tanaka,145929.151414,570,5
Lily Brodi,145560.564379,596,26
Unnamed,144945.615264,597,1
Laponia,141606.76027,569,0
Styg_Fifte,141215.661856,568,5
Unnamed,138192.490783,527,2
Unnamed,135620.725178,603,5
yumiSucks,131638.633085,600,1
Unnamed,128580.273554,587,3
Unnamed,127907.754065,561,5
Unnamed,125486.236999,611,1
Kinson,122323.377334,608,4
Unnamed,119380.367431,617,1
Unnamed,116344.691613,588,2
DMOON Stake Pool,115662.495888,618,9
Unnamed,114802.839111,576,6
Unnamed,114665.723637,575,0
Unnamed,112177.411815,601,3
Unnamed,112122.453168,595,1
Unnamed,109901.318362,563,2
dRep AI Agent (SyncAI),108887.944784,610,0
Unnamed,108532.092361,527,0
Unnamed,106350.423381,611,3
Nate - BIKES SPO,105021.58364,600,0
Unnamed,103904.303833,601,1
Unnamed,102991.685665,611,2
Beyond DRep,100757.463202,570,10
World Peace,100069.986018,593,21
